District,Pharmacy Name,Address,Phone
الشمال - عكار,حازم - البساتين,البلستين - الشارع الرئسي - عقار رقم A/4/469 ملك ذوقان عارف رافع,05/412778
الشمال - عكار,سالي - ديردوم,دير دلوم- الطريق العام-ملك نوفل,06/825709
الشمال - عكار,صيدلية البدوي - القبيات,المقيم - عقار - الطريق العام - ملك محمد محمد خضر,76/109517
الشمال - عكار,صيدلية الحديقة - عقار,عندقت - حي الوطي - الطريق العام - عقار غير ممسوح - ملك فؤاد غصن,03/519763
الشمال - عكار,صيدلية السهل - مقيم,"منطقة المحمرة العقارية-منطقة غرق البياضه-المخزن رقم 10-الواقع بعد الساقية - باتجاه العبده عقار - ملك عبد الرحمن ضاهر, A1 Salah",03/386870
الشمال - عكار,صيدلية حبيب - عقار,منيارة الطريق العام عقار 73 القسم 7 بلوك A ملك محمد عصمت احمد اليوسف,03/690324; 06/690324
الشمال - عكار,صيدلية حنان-حلبا,"منطقة حلبا العقارية-قضاء عقار-العقار رقم 765-المحلين 4و3, ملك رجاح جميل ايوب وجهاد ومروى وفادي جيمس رجاح ايوب",03/180133
الشمال - عكار,صيدلية رائد - برقابل,برقابل الطريق العام عقار 1224 ملك رفيق ونجاح محمد السايس,03/071686; 06/370777
الشمال - عكار,صيدلية شكور - حلبا,منطقة حلبا العقارية-العقار رقم 21-المحلين المواجهين للطريق العاممك محمدية سعيد الزغبي,26/696788
الشمال - عكار,صيدلية طه علم الدين - عكار,منطقة المحمرة العقارية-حي الاوستوراد-عقار 102 - كامل المخزن السابع-ملك محمد فراشي,70/074554; 06/472113
الشمال - عكار,صيدلية مستقل - عكار,halba-quobayet RD jahjah first floor,06/830712; 03/113948
الشمال - عكار,صيدلية نيو حلبا - حلبا,حلبا عقار 1660 ملك محمد واحد وكمال الحسن,03/654718; 26/695103
الشمال - عكار,مشمش - مشمش,مشمش الشارع العام ملك ناصر محمد ناصر,71/622790; 06/895667
النبطية - النبطية,Pharm Bee - النبطية,كفرتبين-العقار رقم 8-ملك هيثم فقيه,03/575439
النبطية - النبطية,Pharmacie Samer,الشرقية-حي سيره القلع-الشارع العام-العقار رقم 2200-المحلين الأول والثاني من الجهة الشرقية من البناء A-ملك بلال منتش,76/109782
النبطية - النبطية,ابن سينا - النبطية,النبطية طريق عام النبطية زيدين - عقار رقم 3623 القسم 7 ملك رانيا برجاوي ومحمد حيدر,07/764391; 03/894334
النبطية - النبطية,الأمير - جشيت,جشيت-حي السوقة -شارع السوقة - عقار رقم 2577 -ملك حسن علي بهجة,07/512556; 71/307378
النبطية - النبطية,الإقليم - عين قنا,عين قنا-حي الرئيسي-الشارع العام-ملك علي عبدالله يونس,07/211722; 03/714815
النبطية - النبطية,البنول - دير الزهراني,دير الزهراني - حي كرم السلطانية - الشارع العام - عقار رقم 33-ملك انصاف حسن بدران,71/116334; 07/531075
النبطية - النبطية,الحاج علي - النبطية,النبطية - التحتاً شارع سوق اللحم ملك ورثة عبد الرؤوف قديج عقار 1624,70/743949
النبطية - النبطية,الريف - كفرصير,كفرصير -كفرصير شارع العام ملك زهاد حسين جفال عقار 1593,03/045332; 07/540437
النبطية - النبطية,السالم النبطية - النبطية,النبطية - اوستوراد نبيه بري عقار رقم 3729 -الاقسام 7و6و5 ملكه 9و8 ملك علي كحيل جادة نبيه بري,03/760292; 07/769446
النبطية - النبطية,بسام - النبطية,النبطية - تلة كفرجوز - الطريق العام-ملك رفيق بيطار,07/533204
النبطية - النبطية,بيسان - النبطية,بئر القنديل البركة ملك حبيبة حرب عقار 975,03/371937; 07/762718
النبطية - النبطية,رامي - مزرعة كفر جوز,منطقة النبطية / كفر جوز حي كفر جوز ملك علي الحاج علي عقار 931/محل رقم 3,03/349071; 07/530689
النبطية - النبطية,سليم - النبطية التحتا,النبطية التحتاً حي خلة الهواء شارع الجزائر عقار رقم 2373 ملك ورثة المرحوم محمد نجيب صباغ,71/858333; 07/769963
النبطية - النبطية,صيدلية الاميري - كفرمان,كفرمان عقار رقم A/157 و9 و10 و13 و10 ملكه,03/031006
النبطية - النبطية,صيدلية العين - حومين الفوقا,حومين الفوقا عقار رقم 422 ملك بهيج محمد شريم,70/955649; 07/520309
النبطية - النبطية,صيدلية دانا - كفرمان,كفرمان عقار رقم 1277 ملك محمد راسم أحمد الأمين - حي البيدر,03/694801; 07/762627
النبطية - النبطية,صيدلية علي - الدور - النبطية,منطقة الدور العقارية - القسم 7-بلوك A-ملك نمر وعلوان عياش,03788249
النبطية - النبطية,عرب-صالم - Pharmarabi,PHARMA RABIH PHARMACY LABANAH HOUSSAM SHAMSDDINE,07535835; 03/638320
النبطية - النبطية,فارما فيل - النبطية,النبطية حي الميدان شارع الميدان عقار 1546 ملك علي ناصر الدين,71/415747; 07/769524
النبطية - النبطية,ليال - ارون,ارون - مدخل ارون - ملك حسين احمد فقيه,71/168797; 07/571120
النبطية - النبطية,نور - حي البياض,جناتا - حي البياض - الشارع العام - عقار رقم 306 ملك عماد عبد الرؤف سليمان,07/400349; 81/998518
النبطية - بنت جبيل,بيضون,بنت جبيل حي اللوكس شارع التختاني عقار غير ممسوح ملك أمين عبد الأمير,03/647114; 27/452270
النبطية - بنت جبيل,جبل عامل - تبنين,تبنين حي الكسار طريق تبنين حاريص على ثلاث محلات على العقار 602 ملك مصطفى محمد حسين فواز,71/760994; 07/325115
النبطية - بنت جبيل,روان - عيتا الشعب,عيتا الشعب الشارع العام ملك محمد خليل باخوق عقار غير مفرز,03/736012; 07/465275
النبطية - بنت جبيل,صيدلية الأطباء رميض Doctors,صيدلية الأطباء رميض,79/135841
النبطية - بنت جبيل,صيدلية التجلي - رميض,رميض محلة القرط عقار غير ممسوح بملكه,03/138540; 07/471473
النبطية - بنت جبيل,صيدلية الزهراء - تبنين,تبنين حي التختاني - الشارع العام - عقار رقم 1785 ملك احمد فواز,70/740681; 70/089744; 07/325315
النبطية - بنت جبيل,صيدلية حداثا - حداثا,منطقة حداثا العقارية - شارع النعمة - العقار رقم 832 -المحل الثاني من جهة الغرب - ملك محمد رشيد,76/634530
النبطية - حاصبيا,Carla's Pharma - حاصبيا,حاصبيا - حي السلام - طريق عام حاصبيا - ملك فؤاد و محمود زويهد,07/551507
النبطية - حاصبيا,Pharmacare - حاصبيا,حاصبيا - حصيفا - عقار رقم 1220- ملك نبيل انيس وهب,07/550835
النبطية - مرجعيون,Yara Pharm - مرجعيون,مرجعيون - Yara Pharm - الطبيعة - الحي الشرقى / طريق عام الطبيعة - عقد - عقد عام الطبيعة - ملك محمد طالب عطوي,07/850344
النبطية - مرجعيون,الرضى - الصوانة,الصوانة العقارية محلة مترابح ظهر البركة الشارع العام عقار غير ممسوح ملكراضي حسن بصل,03/755879; 07/365502
النبطية - مرجعيون,الفرح - مرجعيون,جديدة مرجعيون البولفار السريا ملك جان عبال عقار 897,03/249453; 07/830058
النبطية - مرجعيون,جورجينا نعمة هللا - مرجعيون,جديدة مرجعيون عقار رقم 1091 - ملك الكرم عساف,03/638565; 70/425201
النبطية - مرجعيون,سان رايز - ميس,ميس - مرجعيون - حي ابوصبح - الطريق العام - ملك اميل حسين ابو سعد,07/556406
النبطية - مرجعيون,صيدلية القونى - مرجعيون,حي الساحة العامة - الشارع العام - عقار رقم 43 - ملك الشيخ علي ياسين,07365007
النبطية - مرجعيون,صيدلية زهير - حاصبيا,منطقة حاصبيا العقارية - عقار 1078- المحلين في الجهة الشمالية - ملك نبيل فايز,03/056067; 07/551517
النبطية - مرجعيون,علاء فارم Alaa - الخيام,منطقة الخيام العقارية - عقار 1444 - المحل في الجهة الجنوبية ملك حسن أبو سمره,07/840056; 03/844023
النبطية - مرجعيون,عليا - جديدة مرجعيون,جديدة مرجعيون العقارية - الشارع العام - عقار رقم 2251 - المحل الثاني والثالث,07/831506; 03/489506
النبطية - مرجعيون,منصور - الطبيعة - مرجعيون,"الطبيعة - حي بستان ابونصور - طريق عام ""الطبيعة - ديرسريان"" - رقم متسلسل 343",07/850720; 03/843376
النبطية - مرجعيون,ناصر - مرجعيون,النبطية - حي الميدان - طريق مرجعيون - ملك ورثة المرجوم محمد علي ياسين,07/760336
الهرمل,الشفاء - الهرمل,الهرمل-الدورة ملك اليتامى عقار 1612,08/201166; 03/506298
الهرمل,وسيم - الهرمل,الهرمل حي المعالي الشارع العام عقار رقم 2 المعالي الهرمل ملك احمد محمود عرار,08/201456; 03/796136
بعلبك,ابن رشد - سرعين الفوقا,سرعين الفوقا- اوتوستراد رياق/ بعلبك- الطريق العام- ملك هشام عبدالله,08/921946
بعلبك,الباسمة الرويسات - الجديدة,منطقة رويسات الجديدة العقارية عقار رقم 798 ملك قطايا,01/876139; 70/655396
بعلبك,الحسن - قصرنبا,قصرنبا-الشارع العام ملك حسن الديراني عقار 196 قسم 5,70/624172; 08/911636
بعلبك,الزهراء الطبيه - بعلبك,بعلبك عقار رقم 449-بعلبك-محلين من الجهة الغربية-ملك حسين يونس,78/982220
بعلبك,السلام-تمنين - تمنين التحتا,تمنين التحتا حي الحميري علي صالح ضاهر الطابق الارضي,08/910754; 03/466796
بعلبك,الشمس - المعلقة,المعلقة اراضي الشارع العام عقار 28 معلقة اراضي قسم 6-7 A ملك ابراهيم رفيق الحاوي,76/931078; 70/931078; 08/931078
بعلبك,الطوارئ الجديدة - دورس,دروس بعلبك حي مفرق التعاضد الشارع العام مقابل محطة الجبلي ملك حسين حسن الحسيني عقار رقم 2363,08/372879; 03/703857
بعلبك,المصري - بعلبك,بعلبك-طريق حمص-الشراونة-ملك علي زغيب عقار 737,08/373631; 03/641373
بعلبك,النور - بعلبك,بعلبك-ساحة السراي ملك الحاجة مرتضى عقار 3407,08/374494; 03/395618
بعلبك,ايعات فارم - ايعات,ايعات- ملك اميمه علي زعيتر,76/188827
بعلبك,بريتال - Pharmacy Adam,منطقة بريتال-الطريق العام-العقار رقم 271-المحل الاول والثاني من الجهة الجنوبية ملك عباس جعفر,70/337695
بعلبك,بعلبك - PHARMA DIAB,بعلبك -حي العسيره -الشارع العام -عقار رقم 5676 -ملك سعيد احمد الاحمر,08/377525
بعلبك,جاد الطبية - بعلبك,بعلبك- حي الشيقان- طريق نحلة- ملك ورثة محمود حسين شرف,71/566877
بعلبك,جعفر - النبي شيت,النبي شيت حي الخانوق الشارع العام عقار رقم 3101 ملك علي محمد شكر,08/335393; 70/628892
بعلبك,حنان الطبية - دورس,دورس- شارع الكيال- ملك نجوى عباس جعفر,70/567082
بعلبك,رامز الجديدة - اللبوه,عقار رقم 207/اللبوة والذين يحدها من الشرق الطريق الدولي بعلبك الهرمل -حي الدوحة-الطريق العام-ملك رامز عمار,70/034904
بعلبك,زينة - العين,العين-حي التين -شارع فرعي -عقار رقم 494 العين-ملك خليل محمد حوري,71/714244
بعلبك,سامر - سرعين الفوقا,سرعين الفوقا حي المعصرة الشارع العام عقار رقم 1271 ملك فخري دعاس عبدالله,70/127725
بعلبك,صيدلية الساحلي الطبية - بعلبك,بعلبك-كميل شمعون-حي اليسار ملك عباس حمد احمد قاسم عقار 1914,03/896115; 71/528443
بعلبك,صيدلية العاشق - النبي عثمان,النبي عثمان حي الدورة الطريق العام ملك حسن عباس نزها عقار 882,08/234636; 70/934636
بعلبك,صيدلية الهادي الطبية - بعلبك,بعلبك الحي النبي انعام الشارع الشيخ حبيب عقار 558 ملك علي جميل رستم عبد الساتر,08/370419; 70/370149
بعلبك,صيدلية براءة pharmacy Baraa - بعلبك,بعلبك حي العسيرة -وادي السيل -عقار رقم 252 ملك اميرة خليل مرعي,03/064343
بعلبك,صيدلية دروس الطبية Doures Medical Pharmacy - دورس,دروس حي عب القبه شارع مدخل دروس عقار رقم 2403 ملك علي غازي الفيتروني و محمد غازي الفيتروني,76/596264; 08/377688; 03/593937
بعلبك,صيدلية سحر الطبية - تمنين الفوقا,تمنين الفوقا-العقار رقم 1758-المحلين من الجهة الجنوبية الشرقية-ملك نهاد مرتضى,81/303309
بعلبك,صيدلية سوزان - عرسال,عقار رقم 1243-عرسال الحي الشمالي-ملك علي زعرور,71/995741; 70224099
بعلبك,صيدلية سومر - النبي عثمان,النبي عثمان حي الزرابة الطريق العام عقار 405 ملك محمود مصطفى العاشق,28/234567; 76/506789
بعلبك,صيدلية فارما فيدا PHARMA VIDA - بعلبك,بعلبك-حي راس العين-شارع عمشكه-عقار 6679-ملك حيدر مرتضى,03/477907
بعلبك,صيدلية فارماستي PHARMACITY - اللبوه,Bekaa baalbeck laboue main street pharmacity ground floor,70/879579
بعلبك,صيدلية قصرنبا QSARNABA PHARMACY - قصرنبا,المنطقة العقارية قصرنبا-عقار رقم 165-ملك منتهى عباس التويني,08/910019; 03/794364
بعلبك,صيدلية مالك الحسيني - بعلبك,منطقة سرعين العقارية-العقار رقم 471-المحل الاخير لجهة الشمال-ملك محمد وعلي مبارك,03/763378
بعلبك,صيدلية مالك الطبية Malak Medical - تمنين التحتا,تمنين التحتا-حي السعيدة -الطريق العام -العقار رقم 715-المحل الاول من الجهة الشمالية ملك السيد هيثم وكمال السيد قاسم,76/127725
بعلبك,صيدلية مراد الطبية - تمنين التحتا,منطقة تمنين التحتا العقارية - قضاء بعلبك - اوتوستراد رياق - بعلبك - المحل الخامس من الجهة الغربية من البناء الغربي - رقم العقار 2027,71/890979
بعلبك,صيدلية مرام - بعلبك,منطقة بعلبك العقارية - قضاء بعلبك - رقم العقار 6279 - محل من الجهة الجنوبية - ملك محمود فضل الله زين الدين,76/773321
بعلبك,صيدلية ملحم - حي الصلح بعلبك,بعلبك حي الصلح طريق نحلة عقار 348 ملك علي دوخي صلح,70/415335; 03/010917
بعلبك,صيدلية منار - اللبوه,اللبوة حي الروضة الطريق الدولي عقار 333 ملك يوسف دعاس خليل,70/977040; 08/230184
بعلبك,صيلي الجديدة-نيو,الجديدة ملكه عقار 1100 قسمين 2 و 16,03/690300; 01/889300; 01/872757
بعلبك,عرسال - Pharmacy Medicap,عرسال- طبق الورد- الشارع العام- ملك احمد عبدالغني الحجيري,76/178332
بعلبك,غسان - بعلبك,بعلبك-ملك زكي الخرفان عقار 2875,03/310960; 08/370320
بعلبك,فارما أوليفيا OLIVIA PHARMA - دورس,دروس --عقار رقم 1587 الجهة الجنوبية - ملك طلال اللقيس,08/377340; 03/126202
بعلبك,فارما بيلا - دورس Pharma Bella,دورس- اوتوستراد رياق / بعلبك- ملك حسين خطار الاحمر,08/374393
بعلبك,ملك الطبية - حوش الرافقة,حوش الرافقة- حي الخليج- الطريق العام- ملك علي يزبك و حسن ابوعيد,70/864632
بعلبك,نبيل - الفاكهة,الفاكهة -حي الزيتون -طريق عام بعلبك -حمص -ملك جورج ديب اللقيس,28/325611
بعلبك,وسام - المعلقة,المعلقة-الشارع العام الكرك على القسم 3 ملك غسان سهلب والقسم 4 و 5 من نفس العقار 2333 في المعلقة اراضي بملكه,08/930926; 03/276549
بعلبك,وسيم - سرعين الفوقا,سرعين الشارع العام ملك محمود ابراهيم عبدالله عقار 1542,08/335771; 70/271971
بعلبك الهرمل - بعلبك,Adam Pharmacy - بريتال,منطقة بريتال - الطريق العام - العقار رقم 271 - المحل الأول والثاني من الجهة الجنوبية,70/337695
بعلبك الهرمل - بعلبك,Baraa pharmacy,بعليك حي العسيرة - وادي السيل - عقار رقم 252 ملك اميرة خليل مرعي,03/064343
بعلبك الهرمل - بعلبك,DIAB PHARMA,بعلبك - DIAB PHARMA - ملك عباس جعفر,08/377525
بعلبك الهرمل - بعلبك,Dourses- صيدلية دروس الطبيعة - Medical Pharmacy,دروس حي عب الفبه ارع مدخل دروس عقار رقم 2403 ملك علي غازي الفينتروني و محمد غازي الفينتروني,76/596264; 08/377688; 03/593937
بعلبك الهرمل - بعلبك,Medicap Pharmacy - عرسال,عرسال - طبق الورد - الشارع العام - ملك احمد عبدالغني الحجيري,76/178332
بعلبك الهرمل - بعلبك,PHARMA OLIVIA- فارما أوليفيا,دروس - عقار رقم 1587 الجهة الجنوبية - ملك طالل القيس,08/377340; 03/126202
بعلبك الهرمل - بعلبك,PHARMA-صيدلية فارما قينا-,بعليك-حي راس العين-شارع عشك-عقار 6769-ملك حيدر مرتضى,03/477907
بعلبك الهرمل - بعلبك,PHARMACITY-صيدلية فارماسني,"Bekaa, baalbek, laboue, main street, pharmacy",70/879579
بعلبك الهرمل - بعلبك,Pharma - فارما بيلا - دورس - Bella,دروس - اووتسترد رايق / بعليك- ملك حسين خطار االحمر,08/374393
بعلبك الهرمل - بعلبك,QSARNABA-صيدلية قصربا,المنطقة العقارية قصربا-عقار رقم 165-ملك منتهى عباس التوني,03/794364; 08/910019
بعلبك الهرمل - بعلبك,ابعات فارم - ابعات,ابعات-ملك اميمه علي زعير,76/188827
بعلبك الهرمل - بعلبك,ابن رشد - سريعين الفوقا,سريعين الفوقا - اوستوراد رياق / بعلبك - الطريق العام - ملك هشام عبدالله,08/921946
بعلبك الهرمل - بعلبك,الباسمة الرويستات - الجديدة,منطقة رويستات الجديدة العقارية عقار رقم 798 ملك قطايا,70/655396; 01/876139
بعلبك الهرمل - بعلبك,الحسن - قصربنا,قصربنا-الشارع العام ملك حسن الديناري عقار 196 قسم 5,08/911636; 70/624172
بعلبك الهرمل - بعلبك,الزهراء الطبيعة - بعلبك,بعلبك عقار رقم 449 - بعلبك - محلين من الجهة الغربية - ملك حسين يونس,78/982220
بعلبك الهرمل - بعلبك,السالم - تمين التحتا,تمين التحتا حي الحميري علي صالح ضاهر الطابق الارضى,03/466796; 08/910754
بعلبك الهرمل - بعلبك,الشفاء - الهرمل,الهرمل - الدورة ملك التبامى عقار 1612,03/506298; 08/201166
بعلبك الهرمل - بعلبك,الشمس - المعلقة,المعلقة اراضي الشارع العام عقار 28 معلقة اراضي قسم 6 - 7-ملك ابراهيم,76/931078; 70/931078; 08/931078
بعلبك الهرمل - بعلبك,الطوارىء الجديدة - دروس,دروس بعليك حي مفرق التعاضد الشارع العام مقابل محطة الجبلي ملك حسين حسن الحسيني عقار رقم 2363 في دروس,03/703857; 08/372879
بعلبك الهرمل - بعلبك,المصري - بعليك,بعليك-طريق حصص-الشراونة-ملك علي زغيب عقار 737,03/641373; 08/373631
بعلبك الهرمل - بعلبك,النور - بعليك,بعليك-ساحة السراي ملك الحاجة مرتضى عقار 3407,03/395618; 08/374494
بعلبك الهرمل - بعلبك,جاد الطبيعة - بعليك,بعليك-حي الشيقان- طريق نحلة-ملك ورثة محمود حسين شرف,71/566877
بعلبك الهرمل - بعلبك,جعفر - النبي شيت,النبي شيت حي الخانوق الشارع العام عقار رقم 3101 ملك على محمد شكر,70/628892; 08/335393
بعلبك الهرمل - بعلبك,حنان الطبيعة - دورس,دورس-شارع الكيال-ملك نجوى عباس جعفر,70/567082
بعلبك الهرمل - بعلبك,رامز الجديدة - اللبوة,العقار رقم 207/اللبوة والثين يحدها من الشرق الطريق الدولي بعليك الهرمل حي الدوحة-الطريق العام-ملك رامز عمار,70/034904
بعلبك الهرمل - بعلبك,زينة - العين,العين-حي التين -شارع فرعي - عقار رقم 494-العين-ملك خليل محمد جوري,71/714244
بعلبك الهرمل - بعلبك,سامر - سرعين الفوقا,سرعين الفوقا حي المعصرة الشارع العام عقار رقم 1271 ملك فخري دعاس عبدالله,70/127725
بعلبك الهرمل - بعلبك,صيدلية الساحلي الطبية-بعليك,بعليك-كيمل شمعون-حي اليسارملك عباس محمداحمد قاسم عقار 1914,03/896115; 71/528443
بعلبك الهرمل - بعلبك,صيدلية العاشق - النبى عثمان,النبى عثمان حي الدورة الطريق العام ملك حسن عباس نزها عقار 882,70/934636; 08/234636
بعلبك الهرمل - بعلبك,صيدلية الهادي الطبية - بعليك,بعليك الحي النبي انعام الشارع الشيخ حبيب عقار 558 ملك على جميل رستم عبد السائر,70/370149; 08/370419
بعلبك الهرمل - بعلبك,صيدلية سحر الطبية - تمنين الفوقا,تمنين الفوقا-العقار رقم 1758-المحلين من الجهة الجنوبية الشرقية-مملك نهاد مرتضي,81/303309
بعلبك الهرمل - بعلبك,صيدلية سوزان - عرسال,عقار رقم 1423-عرسال الحي الشمالي-ملك على زعور,70224099; 71/995741
بعلبك الهرمل - بعلبك,صيدلية سومر - النبى عثمان,النبى عثمان حي الزرابة الطريق العام عقار 405 ملك محمود مصطفى العاشق,76/506789; 28/234567
بعلبك الهرمل - بعلبك,صيدلية مراد الطبيعة - تمنين التحتة,منطقة تمنين التحتة العقارية - قضاء بعليك - اووتسترد رايق - بعليك - المحل الخامس من الجهة الغربية من البناء الغربي - رقم العقار 2027 - ملك حسين,71/890979
بعلبك الهرمل - بعلبك,صيدلية مرام - بعليك - بعليك,منطقة بعليك العقارية - قضاء بعليك - رقم العقار 6279 - محل من الجهة الجنوبية - ملك محمود فضل الله زين الدين,76/773321
بعلبك الهرمل - بعلبك,صيدلية ملاك الحسيني - بعليك,منطقة سرعين العقارية-العقار رقم 471-المحل الاخير لجهة الشمال-ملك محمد وعلى مبارك,03/763378
بعلبك الهرمل - بعلبك,صيدلية ملاك الطبية Malak Medical - تمنين التحتا,تمنين التحتاحي السعيدة - الطريق العام - العقار رقم 715-المحل الأول من الجهة الشمالية ملك السيد هيثم وكمال السيد قاسم,76/127725
بعلبك الهرمل - بعلبك,صيدلية ملحم - حي الصلح,بعليك حي الصلح طريق نحلة عقار 348 ملك على دوخي صلح,03/010917; 70/415335
بعلبك الهرمل - بعلبك,صيدلية منار - اللبوه,اللبوة حي الروضة الطريق الدولي عقار 333 ملك يوسف داس خليل,70/977040; 08/230184
بعلبك الهرمل - بعلبك,صيلي,الجديدة-نيو جديدة ملكه عقار 1100 قسمين 2 و 16,03/690300; 01/889300; 01/872757
بعلبك الهرمل - بعلبك,غسان - بعليك,بعليك-ملك زكي الخرفان عقار 2875,08/370320; 03/310960
بعلبك الهرمل - بعلبك,ملك الطبية - حوش الرافقة,حوش الرافقة - حي الخليج - الطريق العام - ملك على يزبك و حسن ابوعيد,70/864632
بعلبك الهرمل - بعلبك,نبيل - الفاكهة,الفاكهة -حي الزيتون -طريق عام بعليك -حمس -ملك جورج ديب القيسن,28/325611
بعلبك الهرمل - بعلبك,وسام - المعلقة,المعلقة-الشارع العام الكرك على القسم 2333 في المعلقة اراضي بملكه-من نفس 5 و 4 ملك غسان سهلب والقسم 3,03/276549; 08/930926
بعلبك الهرمل - بعلبك,وسيم - الهرمل,الهرمل حي المعالي الشارع العام عقار رقم 2 المعالي الهرمل ملك احمد محمود,03/796136; 08/201456
بعلبك الهرمل - بعلبك,وسيم - سرعين الفوقا,سرعين الشارع العام ملك محمود ابراهيم عبدالله عقار 1542,70/271971; 08/335771
بيروت,LIGHT HOUSE PHARMACY راس بيروت,راس بيروت-عرداتي المنارة ملك لبابيدي رقم العقار 1781,03/552811; 01/740753; 01/740754
بيروت,Pharmacie du Musée - صيدلية المتحف,بيروت -المتحف عقار 4/4420A ملك رامز وكميل سلامه,70/834404; 01/615823; 01/615963
بيروت,Sacré Coeur - الصيفي بيروت,منطقة الصيفي العقارية-عقار رقم 498-القسم 4-بملكها,01/571385
بيروت,أمن الدولة,General Directorate of Lebanese State Security Jnah near Khatib and Alami,71/924745
بيروت,الاشرفية - الاشرفيه بيروت,الاشرفية-اديب اسحق ملك اسبيرو وحايك رقم العقار 406/4,03/321258; 01/202107; 01/321258
بيروت,الاونيون - بيروت,بيروت- شارع اوستراليا-الروشة-حي شوران-العقار 28743 قسم 3,03/135841; 01/806166
بيروت,البستاني - بيروت,بيروت-سامي الصلح-البارك ملك الخارقي رقم العقار 5227,01/381616; 03/333642
بيروت,الجعيتاوي - الاشرفيه بيروت,الاشرفية-مستشفى الروم ملك مطرانية الارمن رقم العقار 921,03/433445; 01/581671; 01/581627
بيروت,الحشاش - الاشرفيه بيروت,الاشرفية-مستشفى الروم ملك نجيب ووديع الخطيب رقم العقار 1442,01/585011; 01/585005; 03/638323
بيروت,الحوت - المصيطبة بيروت,المصيطبة-وطى المصيطبة ملك الزهيري عقار 3484,01/816405
بيروت,الدامرجي,منطقة الباشورة العقارية عقار رقم 1254-القسم 7-بلوك A-بملكه,01/660272
بيروت,السمرلاند - المصيطبة بيروت,منطقة المصيطبة العقارية ملك شركة فلورا عقار 4002 كامل القسم 4,01/853215; 03/613016
بيروت,الشرق - راس بيروت,راس بيروت-عبد العزيز-مكتبي رقم العقار 465,01/344979; 03/617516
بيروت,الشعار - بيروت,بيروت- راس النبع- بملكه,01/633222
بيروت,الشعار عيتاني - المصيطبة بيروت,بيروت حي الرملة البيضاء شارع فريد طراد رقم العقار 1574,03/019911; 01/798898; 01/798897
بيروت,الصيفي - الصيفي بيروت,منطقة الصيفي -عقار رقم 1053-القسم OC1(4C) ملك الشركة اللبنانية,01/988588; 03/090700
بيروت,الطبية MEDICALE - راس النبع,بيروت حي راس النبع الشارع دوناماريا رقم الشارع 83 ملك احمد وخالد ابراهيم الحاج عقار 651,01/646420; 78/839520
بيروت,العدلية - الاشرفيه بيروت,الاشرفية-الفرد نقاش ملك امال تابت رقم العقار 4634,01/422900; 03/235577
بيروت,القاضي - المصيطبة بيروت,بيروت المصيطبة شارع بن زياد ملك الغفور والعكش رقم العقار 4742/6,01/365286; 81/770025
بيروت,الكسندر - الاشرفيه بيروت,الاشرفية-اديب اسحق ملك جيزال كفوري رقم العقار 463,03/655422; 01/333807; 01/200498
بيروت,اللبان الجديدة - الحمراء,الحمراء-فردان-حبيب سرور ملك عزت شكري رقم العقار 1344,03/453387; 01/812424; 01/810214
بيروت,الما - زقاق البلاط بيروت,بيروت-بطرس البستاني-زقاق البلاط ملك جواد رقم العقار 285,01/377041; 03/948341
بيروت,المجذوب - بيروت,بيروت- المزرعة - الطريق الجديدة- شارع الحوري- بناية الصانع,01/856757
بيروت,المدينة - راس بيروت,بيروت حي راس بيروت شارع الحمراء رقم العقار 397,03/278074; 01/343043; 01/349349
بيروت,الوردية - راس بيروت,راس بيروت-المعماري-الحمراء ملك حسين وحبيب الشاعر رقم العقار 1435,03/179757; 70/746989; 03/393485
بيروت,الوف - المزرعة بيروت,بيروت- المزرعة شارع بدارو رقم العقار 8/5101 ملك سامي الوف,01/382082; 03/830949
بيروت,اوتيل ديو - الاشرفيه بيروت,صيدلية اوتيل ديو الاشرفية - شارع اوتيل ديو ملك ورثة توماس كاليبينسو - رقم العقار 1005,76/322300; 01/426760; 01/614760
بيروت,ايمان - المصيطبة بيروت,المصيطبة-اني رشد-عائشة بكار بناية منتهى سليم محمد رقم العقار 328,01/813421; 03/601220
بيروت,ايوب - بيروت,بيروت-البسطا التحتا ملك العكش والتيناوي رقم العقار 206/9,01/658825; 03/798025
بيروت,بوشي - الاشرفيه بيروت,الاشرفية-جادة الاستقلال سنتر كنيسة السيدة للروم رقم العقار 522,03/693750; 01/337360; 01/337366
بيروت,جلول - المزرعة بيروت,المزرعة-بربور ملك شبارو رقم العقار 485 القسم 10و7,01/702700; 03/201106
بيروت,حبيب - الاشرفيه بيروت,الاشرفية-عبد الوهاب الانكليزي ملك ورثة جورج جبيب رقم العقار 1208,03918278; 03/374317; 01/336802
بيروت,حجار - الاشرفيه بيروت,الاشرفية-شارع جنينة اليسوعية-حي الرميل بناية حجار رقم العقار 2221,01/584125; 70/155056
بيروت,دارين فارماسي - المصيطبة بيروت,المصيطبة-البستاني-وطى المصيطبة ملك راشد صعب رقم العقار 3209/8,03/493021; 01/816528
بيروت,رأس بيروت - راس بيروت,بيروت-الحسين-رأس بيروت-السادات ملك جواد ابراهيم رضا رقم العقار 2848/2,03/181778; 01/788383; 01/869830
بيروت,راديو - الاشرفيه بيروت,الاشرفية -شارع مار لويس - منطقة الشحروري - ملك عبده جورج غية,03/693750; 01/331137; 01/328512
